ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0001762383-20-000002	YES	101	0001762383	Future Research, Inc.	333 BUSH STREET	20TH FLOOR	SAN FRANCISCO	CA	CALIFORNIA	94104	5105025685	DELAWARE							Corporation		withinFiveYears	2017
0001831094-20-000001	YES	101	0001831094	BILDIT Investment Group, LLC	6184 COASTAL DRIVE		MCKINNEY	TX	TEXAS	75071	479-263-1050	DELAWARE							Limited Liability Company		withinFiveYears	2020
0000902664-20-003843	YES	101	0001721629	AB Alpha Europe Long Only Ltd	C/O ALBERT BRIDGE CAPITAL CAYMAN LTD	UGLAND HOUSE, PO BOX 309	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	44-20-382-0215	CAYMAN ISLANDS				AB Alpha Europe Long Only Fund Ltd			Other	Cayman Islands exempted company	withinFiveYears	2015
0000919574-20-006736	YES	101	0001787454	SKK 9i Ventures, LLC	125 SUMMER STREET	FLOOR 22	BOSTON	MA	MASSACHUSETTS	02110	617-896-1600	DELAWARE							Limited Liability Company		withinFiveYears	2019
0000919574-20-006734	YES	101	0001793228	Tekne Long Only Partners, L.P.	TEKNE CAPITAL MANAGEMENT, LLC	509 MADISON AVE, SUITE 714	NEW YORK	NY	NEW YORK	10022	212-300-9530	DELAWARE							Limited Partnership		withinFiveYears	2016
0001831564-20-000001	YES	101	0001831564	ARSENAL VALUE DEMONSTRATION CO-INVEST 2 LP	100 PARK AVENUE, 31ST FLOOR		NEW YORK	NY	NEW YORK	10017	(212) 771-1717	DELAWARE							Limited Partnership		withinFiveYears	2020
0000950142-20-002471	YES	101	0001765807	OceanSound Partners Fund, LP	320 PARK AVENUE	8TH FLOOR	NEW YORK	NY	NEW YORK	10022	212-433-3050	DELAWARE							Limited Partnership		withinFiveYears	2018
0000919574-20-006732	YES	101	0001751978	Long Path Partners Fund, LP	1 LANDMARK SQUARE	SUITE 1920	STAMFORD	CT	CONNECTICUT	06901	(203) 883-1967	DELAWARE							Limited Partnership		withinFiveYears	2018
0001830267-20-000007	YES	101	0001830267	Reinno Series, LLC	970 SUMMER ST		STAMFORD	CT	CONNECTICUT	06905	2034411172	DELAWARE							Limited Liability Company		withinFiveYears	2020
0000902664-20-003842	YES	101	0001540437	BAYVIEW MORTGAGE SECURITIES OFFSHORE, LTD.	C/O INTERTRUST CORP. SVCS. (CAYMAN) LTD.	190 ELGIN AVENUE, GEORGE TOWN	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9005	(345) 943 3100	CAYMAN ISLANDS							Corporation		overFiveYears	
0001639542-20-000004	YES	101	0001639542	Olive AI, Inc.	99 EAST MAIN STREET		COLUMBUS	OH	OHIO	43215	(800) 501-3161	DELAWARE				CrossChx, Inc.			Corporation		overFiveYears	
0001586998-20-000001	YES	101	0001586998	Hartford Funds Management Group, Inc.	690 LEE ROAD		WAYNE	PA	PENNSYLVANIA	19807	610-386-1773	DELAWARE							Corporation		overFiveYears	
0000902664-20-003841	YES	101	0001525739	Bayview MSR Opportunity Domestic, L.P.	C/O BAYVIEW CAPITAL GP MSR, LLC	4425 PONCE DE LEON BLVD., 5TH FLOOR	CORAL GABLES	FL	FLORIDA	33146	305-854-8880	DELAWARE							Limited Partnership		overFiveYears	
0000902664-20-003840	YES	101	0001539665	BAYVIEW MORTGAGE SECURITIES DOMESTIC, L.P.	C/O BAYVIEW MORTGAGE SECURITIES GP, LLC	4425 PONCE DE LEON BLVD., 5TH FLOOR	CORAL GABLES	FL	FLORIDA	33146	305-854-8880	DELAWARE							Limited Partnership		overFiveYears	
0000919574-20-006730	YES	101	0001722853	Aurigin Fund US Ltd	WALKERS CORPORATE LTD., CAYMAN CORPORATE	27 HOSPITAL ROAD, GEORGE TOWN	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9008	+65 6911 3224	CAYMAN ISLANDS							Other	Cayman Islands exempted company	withinFiveYears	2017
0000902664-20-003839	YES	101	0001525740	Bayview MSR Opportunity Offshore, L.P.	C/O INTERTRUST CORP. SVCS. (CAYMAN) LTD.	190 ELGIN AVENUE, GEORGE TOWN	GEORGE TOWN	E9	CAYMAN ISLANDS	KY1-9005	345-949-3100	CAYMAN ISLANDS							Limited Partnership		overFiveYears	
0001826682-20-000002	YES	101	0001826682	Casmar Co-Investment L.P.	MAPLES CORPORATE SERVICES LIMITED	UGLAND HOUSE	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	345-949-8066	DELAWARE							Limited Partnership		withinFiveYears	2017
0000919574-20-006728	YES	101	0001657797	Scopia Long QP LLC	152 WEST 57TH STREET	33RD FLOOR	NEW YORK	NY	NEW YORK	10019	212-370-0303	DELAWARE							Limited Liability Company		overFiveYears	
0001831537-20-000001	YES	101	0001831537	NHIT: Global Emerging Markets Equity Trust	ONE FINANCIAL CENTER, 27TH FLOOR		BOSTON	MA	MASSACHUSETTS	02111	800-343-2029	NEW HAMPSHIRE							Business Trust		withinFiveYears	2020
0001742234-20-000001	YES	101	0001742234	Empyreal Enterprises, LLC	2000 Oxford Drive	Suite 440	Pittsburgh	PA	PENNSYLVANIA	15102	412-833-2233	PENNSYLVANIA							Limited Liability Company		withinFiveYears	2017
0001192482-20-000779	YES	101	0001831262	Bowmark Investment Partnership-J, L.P.	C/O BOWMARK CAPITAL LLP	ONE EAGLE PLACE	LONDON	X0	UNITED KINGDOM	SW1Y 6AF	011 44 207 189 9000	UNITED KINGDOM							Limited Partnership		withinFiveYears	2018
0001793543-20-000006	YES	101	0001826672	Redstone Income Fund, LP	1110 NW 108th Ave		PLANTATION	FL	FLORIDA	33322	(954) 232-0318	DELAWARE							Limited Partnership		withinFiveYears	2020
0001831333-20-000001	YES	101	0001831333	MediTrak Life Inc.	2627 SNOWDROP DRIVE		WEST LAFAYETTE	IN	INDIANA	47906	7654913924	INDIANA	MediTrak Life LLC						Corporation		withinFiveYears	2018
0001436117-20-000004	YES	101	0001436117	BluePearl Holdings, LLC	2950 BUSCH LAKE BOULEVARD		TAMPA	FL	FLORIDA	33614	813-933-8944	DELAWARE				BLUEPEARL VETERINARY PARTNERS LLC			Limited Liability Company		overFiveYears	
0001827240-20-000001	YES	101	0001827240	CX Station at Poplar Tent, DST	4890 WEST KENNEDY BOULEVARD	SUITE 200	TAMPA	FL	FLORIDA	33609	(813) 281-1023	DELAWARE							Other	Delaware Statutory Trust	withinFiveYears	2020
0001717604-20-000004	YES	101	0001717604	RxActuator, Inc.	2100 N. WILMOT ROAD, SUITE 310		TUCSON	AZ	ARIZONA	85712	5208296453	DELAWARE							Corporation		withinFiveYears	2017
0001567619-20-018812	YES	101	0001093507	BELTWAY SURGERY CENTERS LLC	151 N. PENNSYLVANIA PARKWAY		INDIANAPOLIS	IN	INDIANA	46280	(317) 817-8080	INDIANA							Limited Liability Company		overFiveYears	
0001829164-20-000001	YES	101	0001829164	Greenfield Partners Fund II, L.P.	MIDTOWN TOWER, 28TH FLOOR	144 MENACHEM BEGIN ROAD	TEL AVIV	L3	ISRAEL	6492102	972 76 5388507	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2020
0001831394-20-000001	YES	101	0001831394	Summer Tree Management LLC	33 WHITEHALL STREET	16TH FLOOR	NEW YORK	NY	NEW YORK	10004	8772904443	DELAWARE							Limited Liability Company		withinFiveYears	2020
0000926877-20-000005	YES	101	0001742836	CPG Focused Access Fund, LLC	C/O CENTRAL PARK ADVISERS, LLC	805 THIRD AVENUE, 18TH FLOOR	NEW YORK	NY	NEW YORK	10022	2123179200	DELAWARE							Limited Liability Company		withinFiveYears	2018
0001830793-20-000003	YES	101	0001830136	DSA Smart Fund LLC	430 SHELDON RD		VALENCIA	CA	CALIFORNIA	16059	724-316-9747	TEXAS							Limited Liability Company		withinFiveYears	2020
0001824523-20-000002	YES	101	0001824523	Mid-Michigan Portfolio 7 LLC	796 ASHLAND AVENUE		ATLANTA	GA	GEORGIA	30307	616-308-5125	DELAWARE							Limited Liability Company		withinFiveYears	2020
0000902664-20-003838	YES	101	0001687089	Capstone Equity Replacement Fund (Cayman) Ltd.	C/O WALKERS CORPORATE LIMITED	CAYMAN CORPORATE CENTRE, 27 HOSPITAL RD.	GEORGE TOWN, GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9008	345-814-7600	CAYMAN ISLANDS				Capsstone Equity Replacement Fund (Cayman) Ltd.			Other	Cayman Islands exempted company	withinFiveYears	2016
0000902664-20-003837	YES	101	0001831354	Carronade Capital Master, LP	C/O WALKERS CORPORATE LIMITED	CAYMAN CORPORATE CENTRE, 27 HOSPITAL RD.	GEORGE TOWN, GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9008	345-814-7600	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2020
0001793543-20-000005	YES	101	0001823980	Cunning Capital Ventures, LP	1204 VILLAGE MARKET PLACE	#272	MORRISVILLE	NC	NORTH CAROLINA	27560	(919) 607-2640	DELAWARE							Limited Partnership		withinFiveYears	2016
0001829852-20-000001	YES	101	0001829852	Highbury Holdings IV LLC	1511 2ND AVE. W.		SEATTLE	WA	WASHINGTON	98119	4016511059	DELAWARE							Limited Liability Company		withinFiveYears	2020
0000919574-20-006722	YES	101	0001801319	BCK Charter Oak Onshore Fund LP	1010 WASHINGTON BOULEVARD, 7TH FLOOR		STAMFORD	CT	CONNECTICUT	06901	203-989-9660	DELAWARE							Limited Partnership		withinFiveYears	2019
0000919574-20-006721	YES	101	0001660699	BCK Capital Onshore Fund LP	BCK CAPITAL MANAGEMENT LP	1010 WASHINGTON BOULEVARD	STAMFORD	CT	CONNECTICUT	06901	917-703-5214	DELAWARE							Limited Partnership		withinFiveYears	2015
0001830793-20-000002	YES	101	0001828415	Calico Fund I LLC	3321 TEAL SUNSET ST		LAS VEGAS	NV	NEVADA	89129	702-749-4369	TEXAS							Limited Liability Company		withinFiveYears	2020
0001831445-20-000001	YES	101	0001831445	Airline Tidwell Commercial Limited Partnership	2617 BISSONNET SUITE 202		HOUSTON	TX	TEXAS	77005	713-446-9400	TEXAS							Limited Partnership		withinFiveYears	2020
0001758330-20-000001	YES	101	0001758330	Simcoe Select, LP	509 MADISON AVE, SUITE 2200		NEW YORK	NY	NEW YORK	10022	2124487400	DELAWARE							Limited Partnership		withinFiveYears	2018
0001522927-20-000002	YES	101	0001522927	ArborMetrix, Inc.	339 EAST LIBERTY STREET	SUITE 210	ANN ARBOR	MI	MICHIGAN	48104	734-998-7470	DELAWARE							Corporation		overFiveYears	
0000919574-20-006716	YES	101	0001721970	BCK CAPITAL OFFSHORE FUND LTD	C/O OGIER GLOBAL (CAYMAN) LTD	89 NEXUS WAY, CAMANA BAY	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9009	203-989-9658	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2017
0001831246-20-000001	YES	101	0001831246	North Shoreline Ventures IX LLC	715 North Shoreline Blvd		Mountain View	CA	CALIFORNIA	94043	6505572333	DELAWARE							Limited Liability Company		withinFiveYears	2017
0001830793-20-000001	YES	101	0001830793	CEF Alternative Fund LLC	18685 MAIN ST # 101-277		HUNTINGTON BEACH	CA	CALIFORNIA	92648	714-403-6824	TEXAS							Limited Liability Company		withinFiveYears	2020
0001315863-20-000914	YES	101	0001830798	FPA WhiteHawk III-Plus Onshore Fund, L.P.	11601 WILSHIRE BLVD	SUITE 1200	LOS ANGELES	CA	CALIFORNIA	90025	310.996.5447	DELAWARE							Limited Partnership		withinFiveYears	2020
0001715994-20-000016	YES	101	0001622629	Mawson Gold Ltd	1305 - 1090 WEST GEORGIA STREET		VANCOUVER	A1	BRITISH COLUMBIA, CANADA	V6E 3V7	604-685-9316	BRITISH COLUMBIA, CANADA				Mawson Resources Ltd			Corporation		overFiveYears	
0000919574-20-006710	YES	101	0001311654	Solas Capital Partners, LP	SOLAS CAPITAL MANAGEMENT, LLC	1063 POST ROAD, 2ND FLOOR	DARIEN	CT	CONNECTICUT	06820	203-625-1300	DELAWARE				Solas Capital Partners LP			Limited Partnership		overFiveYears	
0000919574-20-006708	YES	101	0001759049	Orange River Partners, LP	3 COLUMBUS CIRCLE	15TH FLOOR	NEW YORK	NY	NEW YORK	10019	212-204-3430	DELAWARE							Limited Partnership		withinFiveYears	2018
0001831261-20-000001	YES	101	0001831261	Denver LKQ BTS LLC	6301 CAMPUS CIRCLE DR	SUITE 100	IRVING	TX	TEXAS	75063	9727866888	TEXAS							Limited Liability Company		withinFiveYears	2020
0000919574-20-006705	YES	101	0001626127	Harbert Discovery Fund, LP	HARBERT DISCOVERY FUND GP, LLC	2100 THIRD AVENUE NORTH, SUITE 600	BIRMINGHAM	AL	ALABAMA	35203	205-987-5500	DELAWARE				HARBERT MICROCAP PARTNERS FUND, LP			Limited Partnership		overFiveYears	
0001315863-20-000913	YES	101	0001830812	FPA Whitehawk III-Plus Offshore Fund, L.P.	11601 WILSHIRE BLVD	SUITE 1200	LOS ANGELES	CA	CALIFORNIA	90025	310.996.5447	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2020
0000919574-20-006703	YES	101	0001793509	AREX Indigo Fund, LLC	AREX CAPITAL GP, LLC	175 VARICK STREET, 2ND FLOOR	NEW YORK	NY	NEW YORK	10014	646-679-4000	DELAWARE							Limited Liability Company		withinFiveYears	2019
0001831358-20-000001	YES	101	0001831358	Tramway Life Sciences, LLC	5901 INDIAN SCHOOL ROAD, N.E.		ALBUQUERQUE	NM	NEW MEXICO	87110	(505) 710-1463	NEW MEXICO							Limited Liability Company		withinFiveYears	2020
0001754078-20-000002	YES	101	0001754078	Kobiton, Inc.	1776 PEACHTREE STREET NW, SUITE 200N		ATLANTA	2Q	GEORGIA	30309	678-235-4095	DELAWARE							Corporation		withinFiveYears	2016
0001793543-20-000004	YES	101	0001831256	Linden Rose Fund I LP	5414 LINDEN ROSE LANE		SUGAR LAND	TX	TEXAS	77479	(973)841-7158	DELAWARE							Limited Partnership		withinFiveYears	2020
0001315863-20-000912	YES	101	0001830810	FPA WhiteHawk III Onshore Fund, L.P.	11601 WILSHIRE BLVD	SUITE 1200	LOS ANGELES	CA	CALIFORNIA	90025	310.996.5447	DELAWARE							Limited Partnership		withinFiveYears	2020
0001793543-20-000003	YES	101	0001793543	SaaS Focus Fund, LLC	30 Margin Street		Cohasset	MA	MASSACHUSETTS	02025	617-835-9547	DELAWARE							Limited Liability Company		withinFiveYears	2019
0001811253-20-000013	YES	101	0001811253	CX Retreat at the Park, DST	4890 WEST KENNEDY BOULEVARD	SUITE 200	TAMPA	FL	FLORIDA	33609	(813) 263-5312	DELAWARE							Other	Delaware Statutory Trust	withinFiveYears	2020
0000919574-20-006701	YES	101	0001759016	Weiss Enhanced Global Macro Fund LLC	320 PARK AVENUE	20TH FLOOR	NEW YORK	NY	NEW YORK	10022	212-415-4500	DELAWARE							Limited Liability Company		withinFiveYears	2018
0001831527-20-000001	YES	101	0001831527	Adara Ventures III S.C.A., SICAR	15, BOULEVARD F. W. RAIFFEISEN		GRAND DUCHY OF LUXEMBOURG	N4	LUXEMBOURG	L-2411	352 48 18 28 1	LUXEMBOURG							Other	Investment Company	withinFiveYears	2019
0001734411-20-000001	YES	101	0001734411	WULAR INDIA FUND	C/O APEX FUND SERVICES (MAURITIUS) LTD.	4TH FLOOR, 19 BANK STREET	CYBERCITY, EBENE	O4	MAURITIUS	72201	(230) 404 8800	MAURITIUS							Other	Mauritius Public Limited Liability Company	withinFiveYears	2017
0001830543-20-000001	YES	101	0001830543	Heartland Affordable Housing, LLC	5100 WEST JB HUNT DRIVE	SUITE 800	ROGERS	AR	ARKANSAS	72758	479-845-3000	ARKANSAS							Limited Liability Company		withinFiveYears	2020
0001673137-20-000003	YES	101	0001673137	Collective Hotels & Retreats, Inc.	1800 Wazee Street, Suite 300		Denver	CO	COLORADO	80202	970-445-2033	DELAWARE							Corporation		withinFiveYears	2015
0001810093-20-000002	YES	101	0001810093	Lorenz Fund, LP	2633 ASHLAND ST		HOUSTON	TX	TEXAS	77008	832-421-6233	DELAWARE				Gaines Capital Partners, LP			Limited Partnership		withinFiveYears	2019
0001579217-20-000001	YES	101	0001579217	Martingale Investment Trust, Series 1-U.S. Low Volatility LargeCap	MARTINGALE ASSET MANAGEMENT, L.P.	888 BOYLSTON STREET, SUITE 1400	BOSTON	MA	MASSACHUSETTS	02199	617-424-4700	DELAWARE							Business Trust		overFiveYears	
0001831122-20-000001	YES	101	0001831122	AL PLUS CAPITAL I, LP	7500 SAN FELIPE STREET	SUITE 1030	HOUSTON	TX	TEXAS	77063	713-636-2075	TEXAS							Limited Partnership		withinFiveYears	2020
0001786496-20-000001	YES	101	0001786496	Archstone Realty Holdings LLC	31100 SOLON ROAD	SUITE 9	SOLON	OH	OHIO	44139	440-248-3722	DELAWARE							Limited Liability Company		withinFiveYears	2019
0001827124-20-000001	YES	101	0001827124	9YARDS OPPORTUNIES LLC - SERIES 3	595 PACIFIC AVENUE	FLOOR 4	SAN FRANCISCO	CA	CALIFORNIA	94133	2672735600	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001827126-20-000001	YES	101	0001827126	9YARDS OPPORTUNITIES B LLC	595 PACIFIC AVENUE	FLOOR 4	SAN FRANCISCO	CA	CALIFORNIA	94133	2672735660	DELAWARE							Limited Liability Company		withinFiveYears	2020
0000950172-20-000141	YES	101	0001766379	Sky Holdco Corp	C/O PERMIRA ADVISERS LLC	320 PARK AVENUE, 28TH FLOOR	NEW YORK	NY	NEW YORK	10022	(212) 386-7480	DELAWARE							Corporation		withinFiveYears	2018
0000902664-20-003836	YES	101	0001133255	HORIZON PORTFOLIO LP	C/O INTERNATIONAL FUND SVCS. (IRL) LTD	78 SIR JOHN ROGERSON'S QUAY	DUBLIN 2	L2	IRELAND	00000	353 1 776 5000	DELAWARE							Limited Partnership		overFiveYears	
0000902664-20-003835	YES	101	0001449223	HORIZON PORTFOLIO I LTD	C/O HORIZON ASSET CAYMAN LIMITED	UGLAND HOUSE, PO BOX 309	GEORGE TOWN, GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	00 353 1 655 8209	CAYMAN ISLANDS							Corporation		overFiveYears	
0000902664-20-003834	YES	101	0001689102	Vermilion Peak Master Fund	C/O MAPLES CORPORATE SERVICES LIMITED	UGLAND HOUSE, PO BOX 309	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	852-3628-3096	CAYMAN ISLANDS				Karst Peak Vermilion Partners Master Fund			Other	Cayman Islands exempted company	withinFiveYears	2016
0000902664-20-003833	YES	101	0001508050	Maglan Distressed Offshore Fund Ltd.	C/O MAPLES CORPORATE SERVICES LIMITED	UGLAND HOUSE, PO BOX 309	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	345-949-8066	CAYMAN ISLANDS							Corporation		overFiveYears	
0000902664-20-003832	YES	101	0001589721	PWP EIV LLC (Series B)	C/O PERELLA WEINBERG PARTNERS GROUP LP	767 FIFTH AVENUE	NEW YORK	NY	NEW YORK	10153	212- 287-3200	DELAWARE				PWP EIV LLC (Series A & B)	PWP EIV LLC		Limited Liability Company		overFiveYears	
0000902664-20-003831	YES	101	0001719417	Shelter Growth Term Fund I LP	750 WASHINGTON BOULEVARD, SUITE 1050		STAMFORD	CT	CONNECTICUT	06901	(203) 355-6100	DELAWARE							Limited Partnership		withinFiveYears	2017
0000902664-20-003830	YES	101	0001719423	Shelter Growth International Term Fund I LP	C/O MAPLES CORPORATE SERVICES LIMITED	UGLAND HOUSE, P.O. BOX 309	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	(203) 355-6100	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2017
0000902664-20-003829	YES	101	0001793107	High Ground Investment Management Fund Ltd	HIGH GROUND INVESTMENT MNGMT FUND LTD	WALKERS CORPORATE LTD, 27 HOSPITAL ROAD	GEORGE TOWN	E9	CAYMAN ISLANDS	KY1-9008	1-345-949-0641	CAYMAN ISLANDS							Other	Cayman Islands exempted company	withinFiveYears	2019
0001062993-20-005418	YES	101	0001419336	Appia Energy Corp.	2 TORONTO STREET	SUITE 500	Toronto	A6	ONTARIO, CANADA	M5C 2B6	416-546-2707	ONTARIO, CANADA				Appia Energy Corp			Corporation		overFiveYears	
0001745223-20-000003	YES	101	0001745223	Pinnacle Capital Partners, LLC	34 Jerome Avenue	Suite 220	BLOOMFIELD	CT	CONNECTICUT	06002	8602182278	CONNECTICUT							Limited Liability Company		withinFiveYears	2018
0001765663-20-000001	YES	101	0001765663	DYRT, INC.	811 SE STARK ST.	SUITE 400	PORTLAND	OR	OREGON	97214	510-423-1950	DELAWARE							Corporation		overFiveYears	
0001787386-20-000002	YES	101	0001787386	OurCrowd (Investment in Perception) L.P.	28 DERECH HEBRON		JERUSALEM	L3	ISRAEL	9108001	972-2-636-9300	VIRGIN ISLANDS, BRITISH							Limited Partnership		withinFiveYears	2019
0001831547-20-000001	YES	101	0001831547	HP Center Realty Fund LLC	125 HALF MILE ROAD	SUITE 207	RED BANK	NJ	NEW JERSEY	07701	(800) 605-4968	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001831285-20-000001	YES	101	0001831285	Tenzo Tea	924 9TH STREET	APT 9	SANTA MONICA	CA	CALIFORNIA	90403	585-737-4744	CALIFORNIA							Corporation		withinFiveYears	2016
0001829990-20-000001	YES	101	0001829990	BBH Capital Partners VI-2 (Cayman)	18 FORUM LANE	CAMANA BAY, PO BOX 2330	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1106	212-483-1818	CAYMAN ISLANDS							Other	Cayman Islands Unit Trust	withinFiveYears	2020
0001829587-20-000001	YES	101	0001335827	Triad Semiconductor Inc	1760 Jonestown Road		WINSTON SALEM	NC	NORTH CAROLINA	27103	3367742150	FLORIDA							Corporation		overFiveYears	
0001828870-20-000001	YES	101	0001828870	BBH Capital Partners VI-A-1 (Cayman)	18 FORUM LANE	CAMANA BAY, PO BOX 2330	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1106	212-483-1818	CAYMAN ISLANDS							Other	Cayman Islands Unit Trust	withinFiveYears	2020
0001717604-20-000001	YES	101	0001717604	RxActuator, Inc.	2100 N. WILMOT ROAD, SUITE 310		TUCSON	AZ	ARIZONA	85712	5208296453	DELAWARE							Corporation		withinFiveYears	2017
0001831221-20-000001	YES	101	0001831221	Virtulocity Networks	1241 QUARRY LANE, SUITE 140		PLEASANTON	CA	CALIFORNIA	94566	925-523-3267	CALIFORNIA							Corporation		withinFiveYears	2017
0001831079-20-000001	YES	101	0001831079	Pan-European Infrastructure III SCSp	8 RUE LOU HEMMER		SENNINGERBERG	N4	LUXEMBOURG	L-1748	4402075459888	LUXEMBOURG							Limited Partnership		withinFiveYears	2018
0001721931-20-000005	YES	101	0001721931	Primmune Therapeutics, Inc.	c/o JLABS San Diego	3210 Merryfield Row	San Diego	CA	CALIFORNIA	92121	858-205-2281	DELAWARE							Corporation		withinFiveYears	2017
0001567619-20-018772	YES	101	0001656545	CEOF II Coinvestment, L.P.	C/O THE CARLYLE GROUP, SUITE 220 SOUTH	1001 PENNSYLVANIA AVENUE, N.W.	WASHINGTON	DC	DISTRICT OF COLUMBIA	20004	(202) 729-5438	CAYMAN ISLANDS							Limited Partnership		overFiveYears	
0001831550-20-000001	YES	101	0001831550	INVCP LLC	16192 COASTAL HIGHWAY		LEWES	DE	DELAWARE	19958	011447740983047	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001831466-20-000002	YES	101	0001831466	LO Fund II, a series of AngelList-GP-Funds-I, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001760114-20-000001	YES	101	0001760114	Green Check Verified Inc.	262 State Street		North Haven	CT	CONNECTICUT	06473	203-671-2661	DELAWARE							Corporation		withinFiveYears	2017
0001567619-20-018769	YES	101	0001783380	Frontier Medicines Corp	151 OYSTER POINT BOULEVARD	SECOND FLOOR	SOUTH SAN FRANCISCO	CA	CALIFORNIA	94080	650-457-1005	DELAWARE							Corporation		withinFiveYears	2018
0001829897-20-000002	YES	101	0001829788	HighBrook Property Fund IV (TEF), LP	680 FIFTH AVENUE, 20TH FLOOR		NEW YORK	NY	NEW YORK	10019	212-906-3450	DELAWARE							Limited Partnership		withinFiveYears	2020
0001567619-20-018774	YES	101	0001656560	CEOF II Coinvestment B, L.P.	C/O THE CARLYLE GROUP, SUITE 220 SOUTH	1001 PENNSYLVANIA AVENUE, N.W.	WASHINGTON	DC	DISTRICT OF COLUMBIA	20004	(202) 729-5438	CAYMAN ISLANDS							Limited Partnership		overFiveYears	
0001831403-20-000001	YES	101	0001831403	Parking Vault, LLC	2311 MID LANE #1302		HOUSTON	TX	TEXAS	77027	214-718-9993	DELAWARE							Limited Liability Company		overFiveYears	
0001479365-20-000008	YES	101	0001797708	Muse Software, Inc.	113 CHERRY ST #96061		SEATTLE	WA	WASHINGTON	98104	(908) 625-5360	DELAWARE							Corporation		withinFiveYears	2019
0001793285-20-000001	YES	101	0001793285	LulaFit, Inc.	730 N. FRANKLIN STREET	SUITE 450	CHICAGO	IL	ILLINOIS	60654	(773) 938-6058	DELAWARE							Corporation		withinFiveYears	2019
0001568345-20-000001	YES	101	0001568345	Maana, Inc.	555 Bryant Street, Suite 551		PALO ALTO	CA	CALIFORNIA	94301	888-956-2262	DELAWARE							Corporation		overFiveYears	
0001829897-20-000001	YES	101	0001829897	HighBrook Property Fund IV (Main), LP	680 FIFTH AVENUE, 20TH FLOOR		NEW YORK	NY	NEW YORK	10019	212-906-3450	DELAWARE							Limited Partnership		withinFiveYears	2020
0001096906-20-000196	YES	101	0001831521	BROOKRIDGE 171 LLC	1035 BARKSTON DR		KATY	TX	TEXAS	77450	832-247-2570	TEXAS							Limited Liability Company		withinFiveYears	2020
0001479365-20-000006	YES	101	0001479365	Kineta, Inc.	219 TERRY AVE. N.	SUITE 300	SEATTLE	WA	WASHINGTON	98109-5208	2063780400	WASHINGTON							Corporation		overFiveYears	
0001828393-20-000001	YES	101	0001828393	BBH Capital Partners VI, L.P.	140 BROADWAY		NEW YORK	NY	NEW YORK	10005	212-483-1818	DELAWARE							Limited Partnership		withinFiveYears	2020
0001479365-20-000004	YES	101	0001479365	Kineta, Inc.	219 TERRY AVE. N.	SUITE 300	SEATTLE	WA	WASHINGTON	98109-5208	2063780400	WASHINGTON							Corporation		overFiveYears	
0001831503-20-000001	YES	101	0001831503	RH 1720 E MONTE VISTA LLC	1201 DOVE ST.	SUITE 500	NEWPORT BEACH	CA	CALIFORNIA	92660	9492201851	ARIZONA							Limited Liability Company		withinFiveYears	2020
0001831560-20-000002	YES	101	0001831560	CHA Fund I, a series of PLG Master Partnership, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001830951-20-000001	YES	101	0001830951	Stock Capital Partners, LLC	201 TRESSER BLVD., #345		STAMFORD	CT	CONNECTICUT	06901	203-595-4547	DELAWARE							Limited Liability Company		overFiveYears	
